action,tick,distance_cells,heading_change_radians
RIGHT,3,2.405719253041496,-0.7788013208079565
STRAIGHT,pre-pulse,2.6250038260159885,-3.2918264634140826e-06
LEFT,1,2.4059762246984966,0.7503209314381182
LEFT,2,2.6242080560843997,0.872449106604753
LEFT,3,2.4057170846286255,0.8724604905973632
STRAIGHT,pre-pulse,2.625028216637194,8.501859046342042e-06
RIGHT,1,2.405736530235163,-0.6756148755296563
RIGHT,2,2.6241978279342972,-0.9086029141159888
RIGHT,3,2.405720625963859,-0.8561724881540105
STRAIGHT,pre-pulse,2.6250474512228936,2.3803901179064724e-06
LEFT,1,2.4057154216680208,0.7328648341144571
LEFT,2,2.405726146758868,0.8899023782428258
LEFT,3,2.6241852541633426,0.8549959748986464
STRAIGHT,pre-pulse,2.4062175128614642,1.003775860222711e-06
RIGHT,1,2.4057090886139405,-0.7513574649928625
RIGHT,2,2.4057299869140065,-0.8736441185733046
RIGHT,3,2.6241846406150784,-0.891130024571182
STRAIGHT,pre-pulse,2.4138259442589005,-0.055241453799562024
LEFT,1,2.405714259318437,0.7677470950734357
LEFT,2,2.187237512172619,0.8375495370732096
LEFT,3,2.405733337725654,0.9073498128530626
LEFT,4,2.1872558727576537,0.7129263956309462
STRAIGHT,pre-pulse,2.1874918080298382,-5.5328527105713565e-06
RIGHT,1,2.624467347558587,-0.7863110437563501
RIGHT,2,2.4056930646512904,-0.8387014439330214
STRAIGHT,pre-pulse,2.406215406146459,3.4292896571308518e-06
LEFT,1,2.6244707628239192,0.7538285211860061
LEFT,2,2.4057413732044552,0.8375628591476958
LEFT,3,2.187237583524936,0.8475142317492517
STRAIGHT,pre-pulse,2.406271866028656,-4.976091839470342e-06
RIGHT,1,2.1872422546745143,-0.7338676934002244
RIGHT,2,2.405703440670229,-0.8736591264243825
STRAIGHT,pre-pulse,2.4062086545969974,-8.492385692449034e-07
LEFT,1,2.4057163660888037,0.6979501142932376
LEFT,2,2.624212669491526,0.8898954849327687
LEFT,3,2.405733583635101,0.6456123756214716
STRAIGHT,pre-pulse,2.624962110617254,2.8484414416052317e-06
RIGHT,1,2.405704909887892,-0.7688227155762488
RIGHT,2,2.4057053776795447,-0.838706089565584
STRAIGHT,pre-pulse,2.406232545596496,8.005156251211787e-07
LEFT,1,2.405716076605303,0.7677556823004892
LEFT,2,2.4057287585675606,0.8724483215069885
STRAIGHT,pre-pulse,2.6250019873064745,-1.9553756795964716e-06
RIGHT,1,2.405708642709637,-0.7688147773561107
RIGHT,2,2.6241951057239477,-0.8736527291251663
STRAIGHT,pre-pulse,2.624978765498636,-6.640836485161117e-06
LEFT,1,2.4057213420490666,0.7328483338017748
LEFT,2,2.4057150389232764,0.8724573697753879
LEFT,3,2.4057192586160805,0.7129181659891177
STRAIGHT,pre-pulse,2.1874843103620667,3.94843818574131e-06
RIGHT,1,2.4057022829934187,-0.6988245339224786
RIGHT,2,2.4057134628562076,-0.8911212057730307
STRAIGHT,pre-pulse,2.406277230181514,8.226068770600392e-07
LEFT,1,2.62419931165617,0.7677566164479019
LEFT,2,2.4057241027238736,0.8375528325144654
STRAIGHT,pre-pulse,2.4062195942707305,2.537164358606958e-06
RIGHT,1,2.405728431570454,-0.7337639107081126
RIGHT,2,2.405712841973605,-0.8536853625947898
STRAIGHT,pre-pulse,2.40629473968783,8.206838950197692e-06
LEFT,1,2.6242093591629194,0.7852086829396723
LEFT,2,2.4057161815332773,0.6107017817013398
STRAIGHT,pre-pulse,2.4062342541085875,-3.677052724526675e-07
LEFT,1,2.405706039916474,0.7154207763345307
LEFT,2,2.6241914594485696,0.7029440402394487
STRAIGHT,pre-pulse,2.6249827650147455,4.694996426746201e-06
RIGHT,1,2.6244519664405077,-0.7164235047189533
STRAIGHT,pre-pulse,2.187496749002566,4.3638075123419995e-06
LEFT,1,2.624184725167291,0.7677623749754403
LEFT,2,2.4057049181357795,0.837549189742665
STRAIGHT,pre-pulse,2.4062093323641665,3.5659010267918845e-06
RIGHT,1,2.405725078575169,-0.698925106033349
RIGHT,2,2.624199521854922,-0.7837915410908016
STRAIGHT,pre-pulse,2.6249991032346975,5.551291027972027e-06
LEFT,1,2.4049172149131266,0.7154147739594972
LEFT,2,2.405713354426756,0.8898973480069077
STRAIGHT,pre-pulse,2.406282207449035,2.2778106591458958e-06
RIGHT,1,2.405971351898011,-0.716406805675242
RIGHT,2,2.6241879738231826,-0.9085936246852031
STRAIGHT,pre-pulse,2.6249428788415083,2.370714896393622e-06
LEFT,1,2.6241982810275353,0.7677685941708983
LEFT,2,2.4057314887808063,0.8549988813088856
STRAIGHT,pre-pulse,2.4062167580012654,1.6093723235188762e-06
RIGHT,1,2.624223938646686,-0.754856045335181
RIGHT,2,2.405711324449106,-0.856178340807779
RIGHT,3,2.6241951899531033,-0.6465003347862045
STRAIGHT,pre-pulse,2.4062611109564935,-2.020605904817785e-14
LEFT,1,2.4057239273196576,0.7154233596717862
LEFT,2,2.6241956328900717,0.889892595903847
STRAIGHT,pre-pulse,2.6249856067461272,-4.165380481868652e-06
RIGHT,1,2.4057413393524,-0.6814587429655681
RIGHT,2,2.624203322356622,-0.9085993105473429
STRAIGHT,pre-pulse,2.625042233763691,-4.561991249207864e-07
LEFT,1,2.6242010865776293,0.7852112004969006
LEFT,2,2.4057244007881087,0.6680439784999092
STRAIGHT,pre-pulse,2.406292794480297,4.279189291578334e-06
RIGHT,1,2.405713384034728,-0.6989211267332471
RIGHT,2,2.62417482029425,-0.908575848130166
STRAIGHT,pre-pulse,2.6250108235187475,3.3901195184427024e-07
LEFT,1,2.405982452681415,0.7503233960849172
STRAIGHT,pre-pulse,2.6249854361071256,-3.895851712343301e-07
RIGHT,1,2.6244515039986336,-0.7688119904705581
RIGHT,2,2.405728823875739,-0.8311932071399141
STRAIGHT,pre-pulse,2.4062408774187074,-2.0816681711721685e-14
LEFT,1,2.405698735021499,0.6979678115742712
LEFT,2,2.405717035338809,0.772738594825915
STRAIGHT,pre-pulse,2.4062753587139296,7.142539521609592e-06
RIGHT,1,2.4059824515069237,-0.7338660126744159
RIGHT,2,2.624209763229829,-0.8911367606787316
STRAIGHT,pre-pulse,2.6251077720845473,3.425038030968608e-14
LEFT,1,2.624200973034863,0.7677301030354879
LEFT,2,2.4056995353003297,0.8375503529177524
STRAIGHT,pre-pulse,2.4062712012921144,9.628372921177686e-07
RIGHT,1,2.6244093993740223,-0.7548619998458621
RIGHT,2,2.1872375993035296,-0.8736409659364994
STRAIGHT,pre-pulse,2.4062858904113025,-3.956800678772687e-07
LEFT,1,2.18723868674834,0.7154136046724101
LEFT,2,2.4057009143326713,0.7552991431743392
STRAIGHT,pre-pulse,2.4062447061952628,-8.655584540218086e-06
RIGHT,1,2.405718380278548,-0.6989230113302213
RIGHT,2,2.6242057691713043,-0.7487922585749132
STRAIGHT,pre-pulse,2.625045242763633,-4.847441268621133e-06
LEFT,1,2.4057261153024374,0.709625696332679
LEFT,2,2.405713353217531,0.8724467037739475
STRAIGHT,pre-pulse,2.406281243501606,-2.3596156852878636e-06
RIGHT,1,2.4057306651501107,-0.6756258956640259
RIGHT,2,2.4057021390764666,-0.8736467188809581
STRAIGHT,pre-pulse,2.40631139385305,-3.991269173331258e-06
LEFT,1,2.4057126667367768,0.6979256607647386
LEFT,2,2.6241921502403214,0.9073609803423341
LEFT,3,2.405725973425954,0.8375484146582328
STRAIGHT,pre-pulse,2.624975278364956,-2.374806222560366e-06
