elapsed_s,player_x,player_z,forward,left,right,jump,focused
0.00000,253.00000,86.00000,0,0,0,0,0
0.02024,253.00000,86.00000,0,0,0,0,0
0.04037,253.00000,86.00000,0,0,0,0,0
0.06027,253.00000,86.00000,0,0,0,0,0
0.08049,253.00000,86.00000,0,0,0,0,0
0.10015,253.00000,86.00000,0,0,0,0,0
0.12033,253.00000,86.00000,0,0,0,0,0
0.14005,253.00000,86.00000,0,0,0,0,0
0.16022,253.00000,86.00000,0,0,0,0,0
0.18058,253.00000,86.00000,0,0,0,0,0
0.20012,253.00000,86.00000,0,0,0,0,0
0.22033,253.00000,86.00000,0,0,0,0,0
0.24012,253.00000,86.00000,0,0,0,0,0
0.26014,253.00000,86.00000,0,0,0,0,0
0.28012,253.00000,86.00000,0,0,0,0,0
0.30038,253.00000,86.00000,0,0,0,0,0
0.32034,253.00000,86.00000,0,0,0,0,0
0.34006,253.00000,86.00000,0,0,0,0,0
0.36022,253.00000,86.00000,0,0,0,0,0
0.38034,253.00000,86.00000,0,0,0,0,0
0.40051,253.00000,86.00000,0,0,0,0,0
0.42049,253.00000,86.00000,0,0,0,0,0
0.44017,253.00000,86.00000,0,0,0,0,0
0.46037,253.00000,86.00000,0,0,0,0,0
0.48047,253.00000,86.00000,0,0,0,0,0
0.50047,253.00000,86.00000,0,0,0,0,0
0.52048,253.00000,86.00000,0,0,0,0,0
0.54010,253.00000,86.00000,0,0,0,0,0
0.56011,253.00000,86.00000,0,0,0,0,0
0.58020,253.00000,86.00000,0,0,0,0,0
0.60013,253.00000,86.00000,0,0,0,0,0
0.62035,253.00000,86.00000,0,0,0,0,0
0.64053,253.00000,86.00000,0,0,0,0,0
0.66014,253.00000,86.00000,0,0,0,0,0
0.68022,253.00000,86.00000,0,0,0,0,0
0.70011,253.00000,86.00000,0,0,0,0,0
0.72032,253.00000,86.00000,0,0,0,0,0
0.74005,253.00000,86.00000,0,0,0,0,0
0.76018,253.00000,86.00000,0,0,0,0,0
0.78052,253.00000,86.00000,0,0,0,0,0
0.80024,253.00000,86.00000,0,0,0,0,0
0.82015,253.00000,86.00000,0,0,0,0,0
0.84030,253.00000,86.00000,0,0,0,0,0
0.86023,253.00000,86.00000,0,0,0,0,0
0.88030,253.00000,86.00000,0,0,0,0,0
0.90044,253.00000,86.00000,0,0,0,0,0
0.92015,253.00000,86.00000,0,0,0,0,0
0.94031,253.00000,86.00000,0,0,0,0,0
0.96051,253.00000,86.00000,0,0,0,0,0
0.98020,253.00000,86.00000,0,0,0,0,0
1.00049,253.00000,86.00000,0,0,0,0,0
1.02011,253.00000,86.00000,0,0,0,0,0
1.04029,253.00000,86.00000,0,0,0,0,0
1.06006,253.00000,86.00000,0,0,0,0,0
1.08023,253.00000,86.00000,0,0,0,0,0
1.10014,253.00000,86.00000,0,0,0,0,0
1.12031,253.00000,86.00000,0,0,0,0,0
1.14037,253.00000,86.00000,0,0,0,0,0
1.16027,253.00000,86.00000,0,0,0,0,0
1.18009,253.00000,86.00000,0,0,0,0,0
1.20014,253.00000,86.00000,0,0,0,0,0
1.22048,253.00000,86.00000,0,0,0,0,0
1.24023,253.00000,86.00000,0,0,0,0,0
1.26040,253.00000,86.00000,0,0,0,0,0
1.28012,253.00000,86.00000,0,0,0,0,0
1.30009,253.00000,86.00000,0,0,0,0,0
1.32029,253.00000,86.00000,0,0,0,0,0
1.34020,253.00000,86.00000,0,0,0,0,0
1.36034,253.00000,86.00000,0,0,0,0,0
1.38013,253.00000,86.00000,0,0,0,0,0
1.40017,253.00000,86.00000,0,0,0,0,0
1.42007,253.00000,86.00000,0,0,0,0,0
1.44050,253.00000,86.00000,0,0,0,0,0
1.46039,253.00000,86.00000,0,0,0,0,0
1.48046,253.00000,86.00000,0,0,0,0,0
1.50015,253.00000,86.00000,0,0,0,0,0
1.52027,253.00000,86.00000,0,0,0,0,0
1.54004,253.00000,86.00000,0,0,0,0,0
1.56051,253.00000,86.00000,0,0,0,0,0
1.58028,253.00000,86.00000,0,0,0,0,0
1.60051,253.00000,86.00000,0,0,0,0,0
1.62019,253.00000,86.00000,0,0,0,0,0
1.64038,253.00000,86.00000,0,0,0,0,0
1.66056,253.00000,86.00000,0,0,0,0,0
1.68039,253.00000,86.00000,0,0,0,0,0
1.70052,253.00000,86.00000,0,0,0,0,0
1.72013,253.00000,86.00000,0,0,0,0,0
1.74017,253.00000,86.00000,0,0,0,0,0
1.76062,253.00000,86.00000,0,0,0,0,0
1.78047,253.00000,86.00000,0,0,0,0,0
1.80050,253.00000,86.00000,0,0,0,0,0
1.82017,253.00000,86.00000,0,0,0,0,0
1.84030,253.00000,86.00000,0,0,0,0,0
1.86006,253.00000,86.00000,0,0,0,0,0
1.88026,253.00000,86.00000,0,0,0,0,0
1.90047,253.00000,86.00000,0,0,0,0,0
1.92015,253.00000,86.00000,0,0,0,0,0
1.94038,253.00000,86.00000,0,0,0,0,0
1.96051,253.00000,86.00000,0,0,0,0,0
1.98017,253.00000,86.00000,0,0,0,0,0
2.00052,253.00000,86.00000,0,0,0,0,0
2.02017,253.00000,86.00000,0,0,0,0,0
2.04011,253.00000,86.00000,0,0,0,0,0
2.06033,253.00000,86.00000,0,0,0,0,0
2.08033,253.00000,86.00000,0,0,0,0,0
2.10055,253.00000,86.00000,0,0,0,0,0
2.12044,253.00000,86.00000,0,0,0,0,0
2.14011,253.00000,86.00000,0,0,0,0,0
2.16011,253.00000,86.00000,0,0,0,0,0
2.18029,253.00000,86.00000,0,0,0,0,0
2.20026,253.00000,86.00000,0,0,0,0,0
2.22051,253.00000,86.00000,0,0,0,0,0
2.24014,253.00000,86.00000,0,0,0,0,0
2.26036,253.00000,86.00000,0,0,0,0,0
2.28051,253.00000,86.00000,0,0,0,0,0
2.30020,253.00000,86.00000,0,0,0,0,0
2.32036,253.00000,86.00000,0,0,0,0,0
2.34027,253.00000,86.00000,0,0,0,0,0
2.36015,253.00000,86.00000,0,0,0,0,0
2.38015,253.00000,86.00000,0,0,0,0,0
2.40011,253.00000,86.00000,0,0,0,0,0
2.42029,253.00000,86.00000,0,0,0,0,0
2.44022,253.00000,86.00000,0,0,0,0,0
2.46043,253.00000,86.00000,0,0,0,0,0
2.48019,253.00000,86.00000,0,0,0,0,0
2.50045,253.00000,86.00000,0,0,0,0,0
2.52008,253.00000,86.00000,0,0,0,0,0
2.54017,253.00000,86.00000,0,0,0,0,0
2.56028,253.00000,86.00000,0,0,0,0,0
