action,duration_s,n_ticks,distance_cells,heading_change_radians,focused_all
RIGHT,0.15990000000000748,9,2.13073663940612,-0.27957221126681087,True
LEFT,0.08021999999999707,5,1.065368925439917,,True
STRAIGHT,0.0999000000000052,6,1.27873615787653,,True
RIGHT,0.11970999999999776,7,1.7044689715798516,-0.06989454742482248,True
LEFT,0.09959999999999525,6,1.4913619569068954,,True
STRAIGHT,0.11964999999999293,7,1.4918662743072066,-3.9800653142130216e-06,True
RIGHT,0.1403099999999995,8,1.7047362865460483,-0.13978563036460034,True
LEFT,0.1403099999999995,8,1.7047350745118854,0.17448793187832923,True
STRAIGHT,0.13975999999999544,8,1.7049814570633366,-5.863442209985692e-06,True
RIGHT,0.1798300000000097,10,2.3438420816556893,-0.3378656724962399,True
LEFT,0.09999000000000535,6,1.2784893381886269,,True
STRAIGHT,0.15985000000000582,9,1.9180951526991936,0.0,True
RIGHT,0.1801799999999929,10,2.1309830190699977,-0.2795675156202697,True
LEFT,0.12012,7,1.4916252580303102,0.06979737645294959,True
