timestamp,step,x,y,heading,action,reason,change_score,median_flow_px,tracked_points,collision,pang_visible,pang_score,teleport_suspected,fast_heading,fast_heading_confidence,fast_heading_stale
2026-07-25T12:36:15.340+00:00,43,1,0,0,FORWARD,frontier path,0.02371,23.691,132,False,False,0.3923,False,264.134,0.924,False
2026-07-25T12:36:16.706+00:00,44,1,0,3,TURN_RIGHT,frontier path (about-face),0.02714,20.814,102,False,False,0.3913,False,319.848,0.909,False
2026-07-25T12:36:18.084+00:00,45,1,0,2,TURN_RIGHT,frontier path,0.03517,30.632,112,False,False,0.3925,False,38.512,0.854,False
2026-07-25T12:36:18.482+00:00,46,0,0,2,FORWARD,frontier path,0.02925,23.322,211,False,False,0.3924,False,79.799,0.824,False
2026-07-25T12:36:19.846+00:00,47,0,0,1,TURN_RIGHT,frontier path (about-face),0.0454,30.03,147,False,False,0.3924,False,79.799,0.642,True
2026-07-25T12:36:21.150+00:00,48,0,0,0,TURN_RIGHT,frontier path,0.04037,37.907,136,False,False,0.3925,False,206.699,0.814,False
2026-07-25T12:36:21.555+00:00,49,1,0,0,FORWARD,frontier path,0.02402,19.36,170,False,False,0.3924,False,232.657,0.834,False
2026-07-25T12:36:22.938+00:00,50,1,0,3,TURN_RIGHT,frontier path (about-face),0.02681,20.707,116,False,False,0.3925,False,298.869,0.845,False
2026-07-25T12:36:24.255+00:00,51,1,0,2,TURN_RIGHT,frontier path,0.03016,15.32,150,False,False,0.3929,False,24.188,0.857,False
2026-07-25T12:36:24.666+00:00,52,0,0,2,FORWARD,frontier path,0.0286,23.628,173,False,False,0.3921,False,51.5,0.848,False
